Total Population,California County,ZIP,Longitude,Latitude,Ozone Pctl,PM2.5 Pctl,Diesel PM Pctl,Pesticides Pctl,Traffic Pctl,Asthma Pctl,Cardiovascular Disease Pctl,Poverty
7308,Stanislaus ,95382,-120.8343873,37.5147982,72.55,91.08,28.39,67.9,15.35,39.57,73.18,18.7
3827,San Diego,92104,-117.1233872,32.7437342,32.15,49.28,89.21,0.0,72.95,57.08,21.14,12.7
2036,Los Angeles,91355,-118.5720874,34.4168102,91.05,47.75,56.4,8.34,87.15,29.47,45.2,15.5
5792,Orange ,92821,-117.9135026,33.9340988,59.69,85.56,61.52,62.48,35.69,24.98,36.78,12.5
7726,Santa Clara,95128,-121.92545,37.3102822,20.85,24.21,57.9,0.0,77.6,29.92,30.8,30.3
9872,San Bernardino,92310,-116.6442497,35.4026962,80.09,4.88,100.0,0.0,,0.9,82.84,41.7
4018,Los Angeles,93536,-118.2290789,34.7694996,88.7,5.81,4.06,38.21,8.11,74.6,53.5,35.0
4639,Los Angeles,90035,-118.3804933,34.0495333,50.54,66.25,35.21,0.0,67.55,27.12,39.08,29.0
6659,San Bernardino,92284,-116.4313005,34.1517898,93.63,1.48,4.0,0.0,21.6,62.94,96.25,57.9
3956,Los Angeles,90041,-118.1928507,34.1347808,71.66,62.83,24.39,0.0,44.75,35.24,30.27,18.1
5237,Contra Costa,94564,-122.2975158,38.0059174,7.52,34.71,81.89,0.0,95.69,56.29,40.42,16.2
6207,San Benito,95023,-121.379325,36.8433246,22.19,0.91,51.38,0.0,7.28,72.58,97.72,25.2
3448,Orange ,92708,-117.9676275,33.72311,39.99,61.58,73.22,29.1,91.36,27.68,50.72,19.3
5257,Orange ,92780,-117.8127013,33.7362411,60.66,70.33,88.66,0.0,92.99,31.38,36.49,27.8
7618,Riverside ,92583,-116.9444017,33.7716288,93.63,34.25,14.88,48.1,21.29,83.92,98.78,42.2
4202,Orange ,92683,-117.9802241,33.7264094,39.99,61.13,82.51,54.17,97.74,22.26,22.3,20.6
6608,Tehama ,96021,-122.1205504,39.8864854,48.6,7.82,11.96,89.66,0.93,76.35,90.23,40.4
15502,San Bernardino,91739,-117.5244995,34.1192063,97.0,93.04,75.1,0.0,80.56,12.72,55.65,13.0
6894,Solano ,95620,-121.8314911,38.4598591,39.99,27.55,73.35,81.41,91.83,68.91,63.72,31.7
5936,Santa Clara,95131,-121.8929601,37.3943303,20.85,27.64,87.48,0.0,64.75,19.75,31.03,18.2
2463,Los Angeles,90004,-118.3284923,34.079743,56.96,71.2,52.63,0.0,67.51,36.62,28.12,16.6
2208,Ventura ,93033,-119.1820508,34.1578571,24.88,33.06,28.59,0.0,22.15,52.03,67.12,33.6
4373,Santa Clara,95122,-121.822135,37.3314079,24.88,33.69,40.72,0.0,79.76,66.18,48.22,26.2
2734,Riverside ,92262,-116.6260603,33.8749566,93.63,4.68,43.77,28.24,15.24,66.18,59.88,42.4
7113,Orange ,92647,-118.0388823,33.7473928,29.89,66.8,79.45,57.31,60.71,30.02,39.81,11.9
4457,Los Angeles,90066,-118.4274418,34.0021096,42.56,64.0,54.72,0.0,46.99,33.82,48.63,32.3
5291,San Diego,91977,-117.0071856,32.7267911,42.56,50.39,31.95,0.0,72.83,70.5,48.63,36.7
2097,Shasta ,96007,-122.2692975,40.455518,50.54,93.19,17.56,72.66,23.24,57.18,85.29,46.3
5742,Santa Barbara,93454,-120.3928629,34.9569166,10.57,10.5,55.74,99.66,30.71,86.65,52.01,13.9
4086,San Diego,91941,-117.0103336,32.7619814,46.99,49.18,78.37,0.0,67.96,38.12,23.94,27.5
4620,San Diego,92117,-117.1867776,32.8302338,39.99,43.73,37.62,0.0,55.24,43.05,33.5,22.9
3336,Riverside ,92879,-117.5634459,33.861606,79.99,89.77,28.61,0.0,25.41,48.45,87.31,17.5
1513,San Luis Obispo,93442,-120.8297441,35.374148,13.62,8.43,16.6,61.55,40.3,39.97,25.35,28.9
2373,Los Angeles,91107,-118.0699478,34.1401862,79.99,65.95,76.58,0.0,78.8,7.6,5.5,18.8
10092,Riverside ,92320,-117.0823096,33.9814132,99.07,50.26,35.68,31.59,50.9,55.55,84.07,11.9
4962,Alameda ,94703,-122.2771352,37.8668441,3.12,40.22,55.08,0.0,46.79,75.67,40.42,21.9
5952,Santa Clara,95020,-121.5713496,36.9878533,26.7,4.08,75.51,81.28,33.99,68.13,76.17,14.9
3890,Sacramento ,95864,-121.3922567,38.5922351,51.9,41.69,14.2,0.0,44.09,58.95,41.45,44.8
3772,Los Angeles,90035,-118.3797435,34.0566897,51.9,66.16,41.71,0.0,80.13,23.54,33.08,28.5
2677,Orange ,90720,-118.0687277,33.8094993,32.15,64.63,73.94,0.0,81.28,11.35,13.66,20.3
6392,San Bernardino,91709,-117.7390315,33.9934968,70.52,91.39,27.53,0.0,64.23,21.76,54.22,13.0
5723,Los Angeles,93536,-118.196362,34.6667155,88.7,9.48,5.04,0.0,22.55,69.79,61.98,41.3
3563,Los Angeles,91107,-118.0894888,34.1403972,79.99,59.9,71.69,0.0,22.5,18.1,19.52,18.7
2300,Los Angeles,91505,-118.349317,34.1622732,76.94,61.05,21.03,0.0,56.76,33.61,37.59,9.7
5156,Los Angeles,90024,-118.4534107,34.067274,60.66,61.93,89.74,0.0,40.99,7.56,49.17,79.5
4592,Santa Clara,95121,-121.8323618,37.3118522,24.88,31.99,74.71,0.0,97.69,41.3,30.93,18.7
10497,Ventura ,93012,-119.0392215,34.1575595,32.2,35.31,42.48,97.66,64.14,15.67,33.92,18.7
5464,Yolo ,95695,-121.788541,38.6884254,57.77,34.06,39.73,53.45,6.49,63.11,59.12,33.4
944,Riverside ,92320,-117.0288457,33.9595006,99.07,47.06,72.63,0.0,98.0,52.01,88.52,25.2
12225,Sacramento ,95757,-121.4080964,38.3360221,45.14,37.46,24.77,76.48,58.71,24.68,31.97,11.3
3054,Inyo ,92328,-117.1185271,36.2036638,82.69,0.63,0.04,15.14,0.8,34.75,34.05,40.2
7564,Sonoma ,95403,-122.7356597,38.4651445,10.57,9.73,56.6,30.1,77.84,65.72,61.81,42.6
4670,Los Angeles,91411,-118.4552597,34.1684788,82.48,69.31,56.45,0.0,70.36,48.54,49.17,11.1
3165,Los Angeles,91016,-117.9843329,34.1447913,88.7,71.67,32.22,0.0,29.14,23.06,7.22,31.4
3233,Ventura ,93065,-118.738939,34.2764924,71.66,43.56,56.59,0.0,74.16,39.49,43.22,20.9
3522,Los Angeles,90042,-118.1909386,34.1254321,70.28,62.18,25.05,0.0,46.31,37.3,27.82,50.2
3049,San Benito,95043,-121.000818,36.5803313,45.0,0.75,0.25,61.69,0.13,39.87,67.7,24.5
5828,Los Angeles,91505,-118.3382685,34.1648374,76.94,64.59,28.91,0.0,61.71,30.77,34.18,18.1
6978,Los Angeles,91006,-118.0267442,34.1384568,84.58,72.31,82.07,0.0,75.18,12.14,3.07,23.7
6784,Los Angeles,90604,-118.0213686,33.9416417,59.69,74.87,38.97,0.0,31.29,36.14,60.78,31.5
3176,San Diego,91942,-117.0117565,32.7707635,47.38,48.86,83.83,0.0,62.59,18.47,5.11,27.8
5248,Los Angeles,91311,-118.6071365,34.2519958,84.58,53.12,73.39,0.0,38.61,61.57,77.19,15.5
6392,Monterey ,93907,-121.6196088,36.7877533,14.92,1.63,15.05,97.28,69.24,56.44,27.41,22.9
4905,Shasta ,96002,-122.3356287,40.5666835,42.56,19.98,61.36,46.52,48.78,71.68,76.77,36.4
7088,Santa Clara,95035,-121.9161877,37.4503035,20.85,21.51,84.39,0.0,92.19,14.29,25.87,19.9
11749,San Joaquin,95219,-121.382132,38.0505383,39.99,51.69,29.55,92.72,73.65,44.65,47.76,10.1
4610,Sacramento ,95670,-121.2719777,38.5746641,62.53,25.35,50.47,0.0,62.41,68.76,71.55,11.0
3549,Orange ,92612,-117.8336974,33.6531552,57.77,55.16,41.73,9.28,60.36,7.2,4.32,52.1
2853,Los Angeles,91504,-118.3179763,34.1920712,82.48,68.11,67.55,0.0,18.09,33.04,27.33,17.2
4948,Tehama ,96080,-121.8564922,40.1943009,59.94,4.33,2.79,78.24,0.63,56.27,71.66,41.3
4610,Riverside ,92592,-117.1342075,33.5040499,72.55,35.02,63.86,0.0,52.76,10.38,50.9,40.2
17197,Orange ,92617,-117.8416879,33.6425125,56.96,53.59,61.82,5.45,69.26,0.14,0.25,56.6
