Total Population,California County,ZIP,Longitude,Latitude,Ozone Pctl,PM2.5 Pctl,Diesel PM Pctl,Pesticides Pctl,Traffic Pctl,Asthma Pctl,Poverty Pctl,Cardiovascular Disease Pctl
4615,Santa Clara,95051,-121.984583,37.3341541,16.94,52.61,71.61,0.0,58.29,16.38,12.19,35.21
3283,Napa ,94558,-122.3302221,38.3307724,16.94,17.81,32.64,71.68,5.92,47.67,16.84,41.27
4175,San Diego,92069,-117.124725,33.1471367,60.88,52.61,49.82,0.0,14.7,7.12,31.6,11.28
4322,San Francisco,94122,-122.5061466,37.7613974,7.58,17.81,89.65,0.0,15.59,15.32,41.97,20.92
8122,San Diego,92028,-117.1998988,33.3337164,60.88,17.81,14.72,46.26,57.39,24.41,27.37,26.83
5373,Napa ,94508,-122.4283032,38.5549587,16.94,7.96,4.73,59.07,2.91,17.7,40.06,9.56
4496,Orange ,92808,-117.7543976,33.8549585,69.23,69.14,32.12,0.0,82.89,9.43,2.56,36.33
3824,San Francisco,94121,-122.4837889,37.7744602,7.58,17.81,93.29,0.0,49.24,14.0,31.38,18.56
3029,Los Angeles,90069,-118.3875164,34.1016653,64.8,81.66,27.9,0.0,78.0,1.55,16.67,0.75
4355,Orange ,92604,-117.7840842,33.7011607,60.88,40.92,68.53,0.0,86.14,16.88,12.68,21.46
4406,Santa Clara,95123,-121.8102526,37.231546,22.34,52.61,22.71,0.0,15.82,36.43,7.81,27.53
4338,Los Angeles,91367,-118.6541956,34.177348,77.87,52.61,10.04,20.39,52.22,30.83,8.99,35.97
5625,Marin ,94903,-122.5028113,38.0055686,7.58,11.8,19.37,0.0,73.08,36.24,30.41,15.21
7575,Los Angeles,90266,-118.3876372,33.8802482,40.49,81.66,46.51,0.0,54.24,3.43,5.83,7.69
6142,Riverside ,92592,-117.0839947,33.4917233,82.1,3.92,23.61,51.59,14.85,18.02,11.89,72.77
5265,Sacramento ,95610,-121.2551672,38.7059233,73.93,17.81,22.78,0.0,42.57,60.63,48.54,57.82
4299,Santa Barbara,93105,-119.7377491,34.4348903,25.87,1.86,22.74,64.27,73.03,15.45,25.34,9.04
4632,Los Angeles,90278,-118.3749726,33.8764601,40.49,81.66,64.29,0.0,48.67,14.7,21.06,13.1
4469,Mendocino ,95482,-123.2304257,39.1424071,22.34,1.86,12.27,49.17,12.85,86.0,38.16,28.9
3063,Los Angeles,90503,-118.3586819,33.8537952,40.49,81.66,48.87,0.0,53.75,19.4,13.54,25.15
4999,San Diego,91902,-117.0130151,32.6602275,25.87,69.14,23.26,0.0,43.36,18.03,12.07,16.64
7957,Santa Clara,94087,-122.0369674,37.3448183,16.94,52.61,77.52,0.0,43.93,2.61,33.12,12.92
4197,Contra Costa,94531,-121.7692731,37.967884,31.84,17.81,42.38,0.0,21.84,96.23,21.27,89.86
5707,San Mateo,94061,-122.2335642,37.4662884,11.08,40.92,45.56,63.12,14.36,58.01,19.08,17.06
4428,San Diego,92123,-117.1428842,32.7860364,31.84,42.86,87.8,0.0,85.02,23.26,24.21,6.63
3086,Sacramento ,95831,-121.5288152,38.4819076,60.88,30.7,35.33,0.0,8.48,56.09,5.29,41.8
6187,Santa Clara,95125,-121.89284,37.2931927,22.34,52.61,86.76,0.0,33.56,35.37,6.47,23.54
2373,Orange ,92692,-117.6404935,33.6324425,64.8,30.7,17.17,0.0,16.48,14.59,8.99,44.27
7034,Riverside ,92592,-116.9898216,33.4497328,82.1,4.73,5.2,32.48,9.32,13.66,6.34,57.03
6664,Los Angeles,91301,-118.7795834,34.1504051,69.23,40.92,35.48,10.87,83.59,7.46,5.43,28.4
2699,Los Angeles,90712,-118.1294697,33.8646532,40.49,69.14,66.4,20.36,34.23,47.86,22.53,41.54
4166,Contra Costa,94509,-121.8155925,37.9865794,25.87,17.81,27.26,0.0,19.44,99.61,54.0,95.72
3690,Orange ,92656,-117.7170668,33.5832392,60.88,30.7,51.46,0.0,54.88,11.01,13.22,18.19
4747,San Diego,92129,-117.0908369,32.9901496,40.49,52.61,48.36,0.0,89.9,4.09,9.35,2.69
6801,San Diego,91901,-116.7811501,32.8287974,82.1,69.14,8.95,0.0,29.83,28.86,43.26,31.84
3407,Los Angeles,91361,-118.8174173,34.1447221,69.23,40.92,26.68,0.0,53.21,4.34,17.26,34.96
1771,Butte ,95973,-121.894685,39.7660786,60.88,40.92,30.75,76.56,2.71,29.36,57.98,41.09
5880,San Diego,92129,-117.1190243,32.9493661,40.49,40.92,37.25,0.0,80.72,10.02,26.81,9.15
2923,Shasta ,96003,-122.2860952,40.7399422,31.84,4.73,5.8,0.0,7.08,59.0,71.46,55.94
3601,Contra Costa,94518,-122.0423399,37.9413456,22.34,17.81,44.52,0.0,62.19,50.44,12.43,27.17
3253,Los Angeles,90803,-118.1351139,33.7629063,31.84,66.23,39.33,0.0,39.67,21.95,23.93,45.57
5127,San Luis Obispo,93401,-120.657254,35.2687981,16.94,11.94,21.58,25.31,49.87,26.82,61.04,18.34
2728,San Francisco,94118,-122.4564254,37.7782427,7.58,30.7,98.52,0.0,26.14,11.81,33.53,8.66
